Date;Location;Rainfall;WindGustDir;WindGustSpeed;WindSpeed3pm;Humidity3pm;Pressure3pm;Cloud3pm;Temp3pm
01.02.2008;Sydney;15.6;NA;NA;20;84;1017.4;8;20.9
02.02.2008;Sydney;6;NA;NA;13;73;1016.4;7;24.8
03.02.2008;Sydney;6.6;NA;NA;2;86;1015.6;8;23
04.02.2008;Sydney;18.8;NA;NA;20;90;1011.8;8;20.9
05.02.2008;Sydney;77.4;NA;NA;6;74;1004.8;8;25.5
06.02.2008;Sydney;1.6;NA;NA;22;62;998.6;6;26
07.02.2008;Sydney;6.2;NA;NA;15;80;1000.3;7;22.3
08.02.2008;Sydney;27.6;NA;NA;15;61;1007.4;8;21.1
09.02.2008;Sydney;12.6;NA;NA;9;91;1007.6;7;16.5
10.02.2008;Sydney;8.8;NA;NA;20;53;1013.4;2;23.3
11.02.2008;Sydney;0;NA;NA;26;53;1015.3;8;23.7
12.02.2008;Sydney;0;NA;NA;24;67;1007.5;7;24.7
13.02.2008;Sydney;14.4;NA;NA;30;70;1011.7;7;21
14.02.2008;Sydney;3;NA;NA;19;51;1016.5;1;23.3
15.02.2008;Sydney;0;NA;NA;22;56;1018.9;3;23.8
16.02.2008;Sydney;0;NA;NA;26;52;1022.6;6;23.3
17.02.2008;Sydney;0;NA;NA;24;62;1023.1;7;23.4
18.02.2008;Sydney;0;NA;NA;24;59;1019.4;6;23.8
19.02.2008;Sydney;0;NA;NA;17;65;1015.4;7;23.4
20.02.2008;Sydney;0;NA;NA;22;60;1010.8;1;25.2
21.02.2008;Sydney;0;NA;NA;15;62;1009.7;7;24.9
22.02.2008;Sydney;0.4;NA;NA;28;66;1003.1;1;24.9
23.02.2008;Sydney;0;NA;NA;24;45;1007;1;24
24.02.2008;Sydney;0;NA;NA;24;40;1008;0;26.1
25.02.2008;Sydney;0;NA;NA;20;54;1016.9;7;23.5
26.02.2008;Sydney;0;NA;NA;28;65;1015.6;6;25.8
27.02.2008;Sydney;22.2;NA;NA;15;52;1010.6;7;24.7
28.02.2008;Sydney;4.2;NA;NA;9;88;1010.1;8;19.2
29.02.2008;Sydney;33;NA;NA;28;51;1015.6;3;19.9
01.03.2008;Sydney;0.2;NA;NA;31;46;1020.6;1;21.2
02.03.2008;Sydney;5.4;NA;NA;17;54;1025.2;2;22.4
03.03.2008;Sydney;0.2;NA;NA;19;57;1022.5;1;22.5
04.03.2008;Sydney;0;NA;NA;19;57;1018.6;2;23.8
05.03.2008;Sydney;0;NA;NA;22;64;1024.2;3;24.1
06.03.2008;Sydney;0;NA;NA;19;65;1019.8;1;24.7
07.03.2008;Sydney;0;NA;NA;24;75;1020.7;7;23.3
08.03.2008;Sydney;17.4;NA;NA;22;71;1022.3;2;21.5
09.03.2008;Sydney;0;NA;NA;19;64;1025.2;2;23.8
10.03.2008;Sydney;0;NA;NA;24;50;1022.5;0;25.5
11.03.2008;Sydney;0;NA;NA;20;58;1021.4;0;26
12.03.2008;Sydney;0;NA;NA;22;60;1018.8;1;25
13.03.2008;Sydney;0;NA;NA;20;69;1019;4;25.3
14.03.2008;Sydney;0;NA;NA;24;62;1020;1;25.7
15.03.2008;Sydney;0;NA;NA;20;64;1020.9;1;25.6
16.03.2008;Sydney;0;NA;NA;24;69;1022.6;2;24.7
17.03.2008;Sydney;0;NA;NA;NA;60;1022.8;1;25.4
18.03.2008;Sydney;0;NA;NA;20;58;1020;2;25.6
19.03.2008;Sydney;0;NA;NA;13;60;1019.4;7;24.9
20.03.2008;Sydney;0;NA;NA;17;58;1009.6;2;27.6
21.03.2008;Sydney;1;NA;NA;22;80;1018.9;8;18.4
22.03.2008;Sydney;2.2;NA;NA;30;60;1022.2;7;21.7
23.03.2008;Sydney;0.4;NA;NA;13;57;1020.6;6;24.8
24.03.2008;Sydney;17;NA;NA;26;72;1015.3;2;23.3
25.03.2008;Sydney;0.4;NA;NA;17;58;1006.9;7;27
26.03.2008;Sydney;19;NA;NA;6;38;1007.9;5;27.1
27.03.2008;Sydney;0;NA;NA;19;42;1013.4;1;21.8
28.03.2008;Sydney;0;NA;NA;17;51;1016.2;3;21.2
29.03.2008;Sydney;0.2;NA;NA;15;65;1011.2;2;21.7
30.03.2008;Sydney;0;NA;NA;15;22;1009;1;25.9
31.03.2008;Sydney;0;NA;NA;17;31;1012.5;1;24.9
01.04.2008;Sydney;0;NA;NA;15;54;1021.5;1;23.3
02.04.2008;Sydney;0;NA;NA;22;34;1012.4;7;28
03.04.2008;Sydney;0;NA;NA;20;21;1010.8;1;21.2
04.04.2008;Sydney;0;NA;NA;15;37;1019.2;0;21
05.04.2008;Sydney;0;NA;NA;17;50;1023.4;1;21
06.04.2008;Sydney;0;NA;NA;20;55;1024.6;6;22.1
07.04.2008;Sydney;12;NA;NA;15;70;1024.2;6;19.8
08.04.2008;Sydney;9.6;NA;NA;17;75;1024.1;6;18.9
09.04.2008;Sydney;22.8;NA;NA;20;62;1021.4;5;21.1
10.04.2008;Sydney;2.2;NA;NA;15;60;1019.7;1;21.9
11.04.2008;Sydney;0;NA;NA;15;61;1017.5;2;22.1
12.04.2008;Sydney;0;NA;NA;9;59;1016;4;22.2
13.04.2008;Sydney;0;NA;NA;4;75;1013.4;6;19.7
14.04.2008;Sydney;11;NA;NA;30;64;1019.2;3;18.8
15.04.2008;Sydney;2.8;NA;NA;22;71;1023.9;7;19
16.04.2008;Sydney;1.4;NA;NA;20;85;1024.6;8;16.2
17.04.2008;Sydney;4.6;NA;NA;13;72;1023.4;7;19.4
18.04.2008;Sydney;6.4;NA;NA;15;75;1023.7;7;19.6
19.04.2008;Sydney;5;NA;NA;24;61;1026.1;7;19.5
20.04.2008;Sydney;2.8;NA;NA;6;75;1023.7;6;18.4
21.04.2008;Sydney;21.8;NA;NA;19;70;1021.4;7;19
22.04.2008;Sydney;10.2;NA;NA;20;55;1022.3;5;20.1
23.04.2008;Sydney;12.6;NA;NA;22;89;1022.1;7;17.2
24.04.2008;Sydney;15.6;NA;NA;20;80;1018.6;7;19.3
25.04.2008;Sydney;5.4;NA;NA;15;69;1013.9;7;20.3
26.04.2008;Sydney;0.4;NA;NA;6;38;1007;7;24.6
27.04.2008;Sydney;0;NA;NA;22;28;999.1;2;25.7
28.04.2008;Sydney;0;NA;NA;24;33;1008.6;6;15.6
29.04.2008;Sydney;0;NA;NA;9;41;1019.8;1;17.8
30.04.2008;Sydney;0;NA;NA;17;50;1021.3;3;18.1
01.05.2008;Sydney;0;NA;NA;7;56;1016.7;7;18.1
02.05.2008;Sydney;0;NA;NA;17;44;1015.3;3;21.7
03.05.2008;Sydney;0;NA;NA;11;52;1016.9;1;18.6
04.05.2008;Sydney;0;NA;NA;11;47;1018.3;1;19.4
05.05.2008;Sydney;0;NA;NA;7;34;1015.2;2;22.2
06.05.2008;Sydney;0;NA;NA;9;48;1013.3;7;21.1
07.05.2008;Sydney;0;NA;NA;13;44;1011.8;3;22
08.05.2008;Sydney;0;NA;NA;15;45;1017.5;1;20.8
09.05.2008;Sydney;0;NA;NA;11;60;1020.2;1;20.6
10.05.2008;Sydney;0;NA;NA;11;67;1019.6;1;19.3
11.05.2008;Sydney;0;NA;NA;15;67;1021.2;7;18.7
12.05.2008;Sydney;0;NA;NA;15;63;1020.5;1;19.2
13.05.2008;Sydney;0;NA;NA;9;67;1021.7;7;18.1
14.05.2008;Sydney;0;NA;NA;19;64;1020.5;1;20
15.05.2008;Sydney;0.2;NA;NA;9;60;1017.8;1;21.3
16.05.2008;Sydney;1.2;NA;NA;15;66;1013;2;20.9
17.05.2008;Sydney;0;NA;NA;17;41;1003.6;7;20.9
18.05.2008;Sydney;0;NA;NA;31;36;1006.3;1;17
19.05.2008;Sydney;0;NA;NA;7;36;1013.3;0;20.3
20.05.2008;Sydney;0;NA;NA;7;38;1017.5;1;21.3
21.05.2008;Sydney;0;NA;NA;22;64;1022.8;7;17.3
22.05.2008;Sydney;0;NA;NA;19;52;1026.2;2;17.4
23.05.2008;Sydney;0;NA;NA;13;53;1024.6;5;17.1
24.05.2008;Sydney;0;NA;NA;2;39;1022.7;1;19.3
25.05.2008;Sydney;0;NA;NA;11;58;1022.2;3;16.9
26.05.2008;Sydney;0.4;NA;NA;13;58;1022.6;2;19.5
27.05.2008;Sydney;0;NA;NA;13;71;1021.8;1;19.1
28.05.2008;Sydney;0;NA;NA;2;74;1023.9;6;18.6
29.05.2008;Sydney;1;NA;NA;4;76;1029.1;2;17.6
30.05.2008;Sydney;0.2;NA;NA;7;58;1028.7;2;19.6
31.05.2008;Sydney;0;NA;NA;17;61;1026.66;1;19.4
01.06.2008;Sydney;0.2;NA;NA;17;74;1027;7;18.7
02.06.2008;Sydney;22;NA;NA;7;90;1024.8;7;17.1
03.06.2008;Sydney;4;NA;NA;22;90;1024.1;8;16.7
04.06.2008;Sydney;9.2;NA;NA;26;88;1020.5;8;17.2
05.06.2008;Sydney;46.4;NA;NA;24;84;1018.6;8;16.6
06.06.2008;Sydney;12.4;NA;NA;24;70;1020.3;6;16.6
07.06.2008;Sydney;0;NA;NA;24;49;1025.7;1;17.9
08.06.2008;Sydney;6;NA;NA;17;71;1029.8;7;17.2
09.06.2008;Sydney;3.6;NA;NA;2;89;1028;8;16.2
10.06.2008;Sydney;1.6;NA;NA;9;68;1023.9;1;19.1
11.06.2008;Sydney;0;NA;NA;4;70;1020.6;8;19.6
12.06.2008;Sydney;5.4;NA;NA;7;64;1018.1;1;20.1
13.06.2008;Sydney;0;NA;NA;26;42;1011.5;2;16.7
14.06.2008;Sydney;0;NA;NA;24;52;1022.5;7;14.1
15.06.2008;Sydney;0;NA;NA;26;87;1022.8;8;14.5
16.06.2008;Sydney;7.2;NA;NA;20;83;1023;7;15.8
17.06.2008;Sydney;3.4;NA;NA;13;73;1024.8;7;17.3
18.06.2008;Sydney;0;NA;NA;2;69;1022.1;8;19.2
19.06.2008;Sydney;0;NA;NA;13;69;1017.4;7;18.6
20.06.2008;Sydney;3.6;NA;NA;19;60;1016.2;7;17.2
21.06.2008;Sydney;2.2;NA;NA;17;40;1018.9;1;18
22.06.2008;Sydney;0;NA;NA;22;54;1024;3;16.3
23.06.2008;Sydney;0;NA;NA;13;43;1020.4;7;17
24.06.2008;Sydney;0;NA;NA;9;45;1023.1;1;18.8
25.06.2008;Sydney;0;NA;NA;6;43;1020.6;0;19.4
26.06.2008;Sydney;0;NA;NA;28;38;1016.8;1;19.3
27.06.2008;Sydney;0;NA;NA;15;32;1023.6;0;18.9
28.06.2008;Sydney;0;NA;NA;9;43;1024.7;1;18.1
29.06.2008;Sydney;0;NA;NA;6;42;1018.8;1;20.8
30.06.2008;Sydney;0;NA;NA;28;35;1010.3;1;21.6
01.07.2008;Sydney;0.2;NA;NA;41;34;1008.5;1;19.2
02.07.2008;Sydney;0;NA;NA;31;35;1011.2;1;18.8
03.07.2008;Sydney;0;NA;NA;7;42;1020.8;1;17.4
